NodeTitle,SizeValue,ExpandCSV,DataCSV,FullDataCSV,ModifiersCSV,DataQuery,NodeColor,ShowValue
HTC Touch,3.3577,,prod-110.data.csv,,prod-110.mod.csv,,,0
HTC Touch Pro2,3.6518,,prod-227.data.csv,,prod-227.mod.csv,,,0
HTC Hero with Google,3.8265,,prod-230.data.csv,,prod-230.mod.csv,,,0
HTC EVO 4G,4.3424,,prod-3562.data.csv,,prod-3562.mod.csv,,,0
HTC EVO SHIFT,3.8272,,prod-3696.data.csv,,prod-3696.mod.csv,,,0
HTC Hero with Google (Refurbished),1.8385,,prod-3717.data.csv,,prod-3717.mod.csv,,,0
HTC Arrive,4.4599,,prod-3723.data.csv,,prod-3723.mod.csv,,,0
HTC EVO 3D,3.7982,,prod-3758.data.csv,,prod-3758.mod.csv,,,0
HTC EVO Design 4G,3.412,,prod-3801.data.csv,,prod-3801.mod.csv,,,0
HTC EVO 4G LTE,4.0177,,prod-3831.data.csv,,prod-3831.mod.csv,,,0
