NodeTitle,SizeValue,ExpandCSV,DataCSV,FullDataCSV,ModifiersCSV,DataQuery,NodeColor,ShowValue
Sprint 3G/4G USB Modem 250U by Sierra Wireless.,3.4776,,prod-3586.data.csv,,pie.mod.csv,,,0
Sierra Wireless Overdrive Pro 3G/4G Mobile Hotspot,2.9371,,prod-3729.data.csv,,pie.mod.csv,,,0
MiFi 3G4G Mobile Hotspot by Novatel Wireless,3.0328,,prod-3730.data.csv,,pie.mod.csv,,,0
Merlin CC208 3G/4G 2-in-1 Card by Novatel Wireless,4.0,,prod-3773.data.csv,,pie.mod.csv,,,0
Sprint 3G/4G Plug in Connect USB - U602 Dual Mode,2.4545,,prod-3820.data.csv,,pie.mod.csv,,,0
Sierra Wireless 4G LTE Tri-Fi Hotspot,2.8235,,prod-3832.data.csv,,pie.mod.csv,,,0
Airave 2.5,4.7857,,prod-3846.data.csv,,pie.mod.csv,,,0
IPAD 32GB,5.0,,prod-3871.data.csv,,pie.mod.csv,,,0
IPAD MINI 16GB,5.0,,prod-3867.data.csv,,pie.mod.csv,,,0
IPAD 16GB,5.0,,prod-3868.data.csv,,pie.mod.csv,,,0
